code,name,routes,direction,link,id,"Latitude,Longitude"
100340	,STORY AV/ROSEDALE AV,BX5,W,https://bustime.mta.info/m/index?q=100340,MTA_100340,"40.823152, -73.866918"
100341	,STORY AV/SOUNDVIEW AV,BX5,W,https://bustime.mta.info/m/index?q=100341,MTA_100341,"40.822974, -73.868066"
100342	,STORY AV/FTELEY AV,BX5,W,https://bustime.mta.info/m/index?q=100342,MTA_100342,"40.822659, -73.870545"
100343	,STORY AV/MORRISON AV,BX5,W,https://bustime.mta.info/m/index?q=100343,MTA_100343,"40.822262, -73.873406"
100344	,STORY AV/BOYNTON AV,BX5,W,https://bustime.mta.info/m/index?q=100344,MTA_100344,"40.821762, -73.877189"
100347	,STORY AV/BRONX RIVER AV,BX5,W,https://bustime.mta.info/m/index?q=100347,MTA_100347,"40.821109, -73.882065"
101324	,SOUTHERN BLVD/ALDUS ST,"BX5, BX19",N,https://bustime.mta.info/m/index?q=101324,MTA_101324,"40.823173, -73.891755"
101359	,SOUTHERN BLVD/WESTCHESTER AV,"BX5, BX19",N,https://bustime.mta.info/m/index?q=101359,MTA_101359,"40.824545, -73.891857"
101360	,SOUTHERN BLVD/ALDUS ST,"BX5, BX19",S,https://bustime.mta.info/m/index?q=101360,MTA_101360,"40.822869, -73.891817"
101484	,CASTLE HILL AV/QUIMBY AV,"BX5, BX22",N,https://bustime.mta.info/m/index?q=101484,MTA_101484,"40.826079, -73.849609"
101557	,CASTLE HILL AV/BRUCKNER BLVD,"BX5, BX22",S,https://bustime.mta.info/m/index?q=101557,MTA_101557,"40.826582, -73.849847"
102985	,WHITE PLAINS RD/LAFAYETTE AV,"BX5, BX36, BX39",N,https://bustime.mta.info/m/index?q=102985,MTA_102985,"40.822144, -73.858232"
103355	,LAFAYETTE AV/WHITE PLAINS RD,"BX5, BX36",E,https://bustime.mta.info/m/index?q=103355,MTA_103355,"40.822005, -73.857966"
103390	,BRUCKNER BLVD/CASTLE HILL AV,"BX5, BXM8",E,https://bustime.mta.info/m/index?q=103390,MTA_103390,"40.826904, -73.849379"
103391	,BRUCKNER BLVD/HAVEMEYER AV,BX5,E,https://bustime.mta.info/m/index?q=103391,MTA_103391,"40.827309, -73.846393"
103393	,BRUCKNER BLVD/ZEREGA AV,BX5,E,https://bustime.mta.info/m/index?q=103393,MTA_103393,"40.827582, -73.843919"
103409	,STORY AV/EVERGREEN AV,BX5,W,https://bustime.mta.info/m/index?q=103409,MTA_103409,"40.821394, -73.879876"
103410	,BRUCKNER BLVD/HAVEMEYER AV,BX5,W,https://bustime.mta.info/m/index?q=103410,MTA_103410,"40.827994, -73.847302"
103413	,BRUCKNER BLVD/HUNTINGTON AV,"BX5, BXM8",NE,https://bustime.mta.info/m/index?q=103413,MTA_103413,"40.83007, -73.832706"
103473	,BRUCKNER BLVD/BUHRE AV,"BX5, BX24, Q50",N,https://bustime.mta.info/m/index?q=103473,MTA_103473,"40.849009, -73.826857"
103653	,WHITE PLAINS RD/STORY AV,"BX5, BX36",S,https://bustime.mta.info/m/index?q=103653,MTA_103653,"40.82388, -73.858819"
103946	,BRUCKNER BLVD/WILKINSON AV,BX5,S,https://bustime.mta.info/m/index?q=103946,MTA_103946,"40.851831, -73.827224"
103990	,E 163 ST/SOUTHERN BLVD,BX5,W,https://bustime.mta.info/m/index?q=103990,MTA_103990,"40.821027, -73.891402"
104055	,LAFAYETTE AV/PUGSLEY AV,BX5,E,https://bustime.mta.info/m/index?q=104055,MTA_104055,"40.82238, -73.855288"
104056	,LAFAYETTE AV/OLMSTEAD AV,BX5,E,https://bustime.mta.info/m/index?q=104056,MTA_104056,"40.822806, -73.851624"
104057	,LAFAYETTE AV/OLMSTEAD AV,BX5,W,https://bustime.mta.info/m/index?q=104057,MTA_104057,"40.822908, -73.851937"
104058	,LAFAYETTE AV/PUGSLEY AV,"BX5, BX36",W,https://bustime.mta.info/m/index?q=104058,MTA_104058,"40.822391, -73.856033"
104066	,TURNBULL AV/ PUGSLEY AV,BX5,E,https://bustime.mta.info/m/index?q=104066,MTA_104066,"40.823059, -73.855739"
104077	,CASTLE HILL AV/HERMANY AV,"BX5, BX22",S,https://bustime.mta.info/m/index?q=104077,MTA_104077,"40.82461, -73.849396"
104078	,CASTLE HILL AV/TURNBULL AV,"BX5, BX22",N,https://bustime.mta.info/m/index?q=104078,MTA_104078,"40.823743, -73.849062"
